author,email,arxiv_id,published,title
Zach Marine,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Wyatt Cook,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Carole-Jean Wu,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
Gaoxiang Liu,,2512.23236v3,2025-12-29T06:31:55Z,KernelEvolve: Scaling Agentic Kernel Coding for Heterogeneous AI Accelerators at Meta
S. Zhang,,2601.02398v1,2025-12-29T05:45:57Z,"AI-Native Integrated Sensing and Communications for Self-Organizing Wireless Networks: Architectures, Learning Paradigms, and System-Level Design"
M. Feizarefi,,2601.02398v1,2025-12-29T05:45:57Z,"AI-Native Integrated Sensing and Communications for Self-Organizing Wireless Networks: Architectures, Learning Paradigms, and System-Level Design"
A. F. Mirzaei,,2601.02398v1,2025-12-29T05:45:57Z,"AI-Native Integrated Sensing and Communications for Self-Organizing Wireless Networks: Architectures, Learning Paradigms, and System-Level Design"
Jingming Li,,2512.23217v1,2025-12-29T05:41:25Z,TCEval: Using Thermal Comfort to Assess Cognitive and Perceptual Abilities of AI
Zelin Zang,,2512.23189v2,2025-12-29T03:59:28Z,The Dawn of Agentic EDA: A Survey of Autonomous Digital Chip Design
Yuhang Song,,2512.23189v2,2025-12-29T03:59:28Z,The Dawn of Agentic EDA: A Survey of Autonomous Digital Chip Design
Aili Wang,,2512.23189v2,2025-12-29T03:59:28Z,The Dawn of Agentic EDA: A Survey of Autonomous Digital Chip Design
Bingo Wing-Kuen Ling,,2512.23189v2,2025-12-29T03:59:28Z,The Dawn of Agentic EDA: A Survey of Autonomous Digital Chip Design
Qi Sun,,2512.23189v2,2025-12-29T03:59:28Z,The Dawn of Agentic EDA: A Survey of Autonomous Digital Chip Design
Zhen Lei,,2512.23189v2,2025-12-29T03:59:28Z,The Dawn of Agentic EDA: A Survey of Autonomous Digital Chip Design
Fuji Yang,,2512.23189v2,2025-12-29T03:59:28Z,The Dawn of Agentic EDA: A Survey of Autonomous Digital Chip Design
Cheng Zhuo,,2512.23189v2,2025-12-29T03:59:28Z,The Dawn of Agentic EDA: A Survey of Autonomous Digital Chip Design
Jiebo Luo,,2512.23189v2,2025-12-29T03:59:28Z,The Dawn of Agentic EDA: A Survey of Autonomous Digital Chip Design
Yifan Zhang,,2512.23167v1,2025-12-29T03:19:42Z,SPIRAL: Symbolic LLM Planning via Grounded and Reflective Search
Giridhar Ganapavarapu,,2512.23167v1,2025-12-29T03:19:42Z,SPIRAL: Symbolic LLM Planning via Grounded and Reflective Search
Srideepika Jayaraman,,2512.23167v1,2025-12-29T03:19:42Z,SPIRAL: Symbolic LLM Planning via Grounded and Reflective Search
Bhavna Agrawal,,2512.23167v1,2025-12-29T03:19:42Z,SPIRAL: Symbolic LLM Planning via Grounded and Reflective Search
Dhaval Patel,,2512.23167v1,2025-12-29T03:19:42Z,SPIRAL: Symbolic LLM Planning via Grounded and Reflective Search
Achille Fokoue,,2512.23167v1,2025-12-29T03:19:42Z,SPIRAL: Symbolic LLM Planning via Grounded and Reflective Search
Kooktae Lee,,2512.23158v1,2025-12-29T02:42:39Z,Breaking Symmetry-Induced Degeneracy in Multi-Agent Ergodic Coverage via Stochastic Spectral Control
Julian Martinez,,2512.23158v1,2025-12-29T02:42:39Z,Breaking Symmetry-Induced Degeneracy in Multi-Agent Ergodic Coverage via Stochastic Spectral Control
Armstrong Foundjem,,2512.23132v1,2025-12-29T01:27:19Z,Multi-Agent Framework for Threat Mitigation and Resilience in AI-Based Systems
Lionel Nganyewou Tidjon,,2512.23132v1,2025-12-29T01:27:19Z,Multi-Agent Framework for Threat Mitigation and Resilience in AI-Based Systems
Leuson Da Silva,,2512.23132v1,2025-12-29T01:27:19Z,Multi-Agent Framework for Threat Mitigation and Resilience in AI-Based Systems
Foutse Khomh,,2512.23132v1,2025-12-29T01:27:19Z,Multi-Agent Framework for Threat Mitigation and Resilience in AI-Based Systems
Karolina Korgul,,2512.23128v1,2025-12-29T01:09:10Z,It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents
Yushi Yang,,2512.23128v1,2025-12-29T01:09:10Z,It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents
Arkadiusz Drohomirecki,,2512.23128v1,2025-12-29T01:09:10Z,It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents
Piotr Błaszczyk,,2512.23128v1,2025-12-29T01:09:10Z,It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents
Will Howard,,2512.23128v1,2025-12-29T01:09:10Z,It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents
Lukas Aichberger,,2512.23128v1,2025-12-29T01:09:10Z,It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents
Chris Russell,,2512.23128v1,2025-12-29T01:09:10Z,It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents
Philip H. S. Torr,,2512.23128v1,2025-12-29T01:09:10Z,It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents
Adam Mahdi,,2512.23128v1,2025-12-29T01:09:10Z,It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents
Adel Bibi,,2512.23128v1,2025-12-29T01:09:10Z,It's a TRAP! Task-Redirecting Agent Persuasion Benchmark for Web Agents
Eilon Solan,,2512.23115v1,2025-12-28T23:35:42Z,The Design of Optimal Dependency and Rewards
Avraham Tabbach,,2512.23115v1,2025-12-28T23:35:42Z,The Design of Optimal Dependency and Rewards
Chang Zhao,,2512.23115v1,2025-12-28T23:35:42Z,The Design of Optimal Dependency and Rewards
Hans van Ditmarsch,,2512.23088v1,2025-12-28T21:49:54Z,Hypergraph Semantics for Doxastic Logics
Djanira Gomes,,2512.23088v1,2025-12-28T21:49:54Z,Hypergraph Semantics for Doxastic Logics
David Lehnherr,,2512.23088v1,2025-12-28T21:49:54Z,Hypergraph Semantics for Doxastic Logics
Valentin Müller,,2512.23088v1,2025-12-28T21:49:54Z,Hypergraph Semantics for Doxastic Logics
Thomas Studer,,2512.23088v1,2025-12-28T21:49:54Z,Hypergraph Semantics for Doxastic Logics
Ken Huang,,2512.23760v1,2025-12-28T19:39:47Z,"Audited Skill-Graph Self-Improvement for Agentic LLMs via Verifiable Rewards, Experience Synthesis, and Continual Memory"
Jerry Huang,,2512.23760v1,2025-12-28T19:39:47Z,"Audited Skill-Graph Self-Improvement for Agentic LLMs via Verifiable Rewards, Experience Synthesis, and Continual Memory"
TJ Bai,,2512.23049v1,2025-12-28T19:21:11Z,Accelerating Language Model Workflows with Prompt Choreography
Jason Eisner,,2512.23049v1,2025-12-28T19:21:11Z,Accelerating Language Model Workflows with Prompt Choreography
Zhengyang Liang,,2512.23044v2,2025-12-28T19:08:27Z,Video-Browser: Towards Agentic Open-web Video Browsing
Yan Shu,,2512.23044v2,2025-12-28T19:08:27Z,Video-Browser: Towards Agentic Open-web Video Browsing
Xiangrui Liu,,2512.23044v2,2025-12-28T19:08:27Z,Video-Browser: Towards Agentic Open-web Video Browsing
Minghao Qin,,2512.23044v2,2025-12-28T19:08:27Z,Video-Browser: Towards Agentic Open-web Video Browsing
