author,email,arxiv_id,published,title
Nigini Oliveira,,2312.17479v1,2023-12-29T05:39:10Z,Culturally-Attuned Moral Machines: Implicit Learning of Human Value Systems by AI through Inverse Reinforcement Learning
Jasmine Li,,2312.17479v1,2023-12-29T05:39:10Z,Culturally-Attuned Moral Machines: Implicit Learning of Human Value Systems by AI through Inverse Reinforcement Learning
Koosha Khalvati,,2312.17479v1,2023-12-29T05:39:10Z,Culturally-Attuned Moral Machines: Implicit Learning of Human Value Systems by AI through Inverse Reinforcement Learning
Rodolfo Cortes Barragan,,2312.17479v1,2023-12-29T05:39:10Z,Culturally-Attuned Moral Machines: Implicit Learning of Human Value Systems by AI through Inverse Reinforcement Learning
Katharina Reinecke,,2312.17479v1,2023-12-29T05:39:10Z,Culturally-Attuned Moral Machines: Implicit Learning of Human Value Systems by AI through Inverse Reinforcement Learning
Andrew N. Meltzoff,,2312.17479v1,2023-12-29T05:39:10Z,Culturally-Attuned Moral Machines: Implicit Learning of Human Value Systems by AI through Inverse Reinforcement Learning
Rajesh P. N. Rao,,2312.17479v1,2023-12-29T05:39:10Z,Culturally-Attuned Moral Machines: Implicit Learning of Human Value Systems by AI through Inverse Reinforcement Learning
Haibei Zhu,,2312.17472v1,2023-12-29T04:47:36Z,"Once Burned, Twice Shy? The Effect of Stock Market Bubbles on Traders that Learn by Experience"
Svitlana Vyetrenko,,2312.17472v1,2023-12-29T04:47:36Z,"Once Burned, Twice Shy? The Effect of Stock Market Bubbles on Traders that Learn by Experience"
Serafin Grundl,,2312.17472v1,2023-12-29T04:47:36Z,"Once Burned, Twice Shy? The Effect of Stock Market Bubbles on Traders that Learn by Experience"
David Byrd,,2312.17472v1,2023-12-29T04:47:36Z,"Once Burned, Twice Shy? The Effect of Stock Market Bubbles on Traders that Learn by Experience"
Kshama Dwarakanath,,2312.17472v1,2023-12-29T04:47:36Z,"Once Burned, Twice Shy? The Effect of Stock Market Bubbles on Traders that Learn by Experience"
Tucker Balch,,2312.17472v1,2023-12-29T04:47:36Z,"Once Burned, Twice Shy? The Effect of Stock Market Bubbles on Traders that Learn by Experience"
Killian Wood,,2312.17471v2,2023-12-29T04:45:39Z,Solving Decision-Dependent Games by Learning from Feedback
Ahmed Zamzam,,2312.17471v2,2023-12-29T04:45:39Z,Solving Decision-Dependent Games by Learning from Feedback
Emiliano Dall'Anese,,2312.17471v2,2023-12-29T04:45:39Z,Solving Decision-Dependent Games by Learning from Feedback
Jie Shen,,2312.17451v1,2023-12-29T03:31:28Z,FedLED: Label-Free Equipment Fault Diagnosis with Vertical Federated Transfer Learning
Shusen Yang,,2312.17451v1,2023-12-29T03:31:28Z,FedLED: Label-Free Equipment Fault Diagnosis with Vertical Federated Transfer Learning
Cong Zhao,,2312.17451v1,2023-12-29T03:31:28Z,FedLED: Label-Free Equipment Fault Diagnosis with Vertical Federated Transfer Learning
Xuebin Ren,,2312.17451v1,2023-12-29T03:31:28Z,FedLED: Label-Free Equipment Fault Diagnosis with Vertical Federated Transfer Learning
Peng Zhao,,2312.17451v1,2023-12-29T03:31:28Z,FedLED: Label-Free Equipment Fault Diagnosis with Vertical Federated Transfer Learning
Yuqian Yang,,2312.17451v1,2023-12-29T03:31:28Z,FedLED: Label-Free Equipment Fault Diagnosis with Vertical Federated Transfer Learning
Qing Han,,2312.17451v1,2023-12-29T03:31:28Z,FedLED: Label-Free Equipment Fault Diagnosis with Vertical Federated Transfer Learning
Shuaijun Wu,,2312.17451v1,2023-12-29T03:31:28Z,FedLED: Label-Free Equipment Fault Diagnosis with Vertical Federated Transfer Learning
Siqiao Xue,,2312.17449v2,2023-12-29T03:23:23Z,DB-GPT: Empowering Database Interactions with Private Large Language Models
Caigao Jiang,,2312.17449v2,2023-12-29T03:23:23Z,DB-GPT: Empowering Database Interactions with Private Large Language Models
